,City,State,County,Zip,Lat,Lng,Population,Area,TimeZone,Job,Children,Age,Income,Marital,Gender,Churn,Outage_sec_perweek,Email,Contacts,Yearly_equip_failure,Techie,Contract,Port_modem,Tablet,InternetService,Phone,Multiple,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,PaymentMethod,Tenure,MonthlyCharge,Bandwidth_GB_Year,TimelyResponse,Fixes,Replacements,Reliability,Options,Respectfulness,Courteous,Listening
1356,Napa,CA,Napa,94558,38.45491,-122.25643000000001,69142,Rural,America/Los_Angeles,Telecommunications researcher,1,74,11856.64,Married,Male,Yes,15.95494909,15,0,0,No,Month-to-month,No,Yes,Fiber Optic,Yes,No,No,Yes,No,Yes,No,Yes,No,Credit Card (automatic),11.73492964,182.446995,1249.494056,5,5,5,5,2,4,4,4
1357,Athens,TX,Henderson,75752,32.24451,-95.80858,7222,Rural,America/Chicago,Sales promotion account executive,0,21,19017.34,Separated,Male,Yes,12.03501573,10,1,0,No,Month-to-month,No,Yes,None,Yes,No,No,Yes,No,No,Yes,Yes,No,Mailed Check,9.841085026,197.628838,1495.341126,3,3,4,5,2,5,4,4
1358,Jerome,MI,Hillsdale,49249,42.022859999999994,-84.45832,3758,Suburban,America/Detroit,Musician,2,71,62781.25,Married,Male,Yes,11.66278135,11,0,0,No,Month-to-month,No,Yes,DSL,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Bank Transfer(automatic),7.8197838520000005,174.98820800000001,1516.797047,2,1,1,4,4,4,3,3
1359,Danville,IL,Vermilion,61834,40.1643,-87.63785,8778,Urban,America/Chicago,Media buyer,4,66,5601.94,Divorced,Female,Yes,13.63078539,10,0,1,Yes,Month-to-month,Yes,No,DSL,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Bank Transfer(automatic),29.70527547,164.967019,3293.015758,4,3,3,4,3,4,2,2
1360,Rochelle,GA,Wilcox,31079,31.94087,-83.46037,2161,Urban,America/New_York,Land/geomatics surveyor,0,66,41527.17,Widowed,Male,Yes,11.51565844,9,1,0,No,Month-to-month,No,Yes,DSL,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Electronic Check,2.478012402,207.475448,1057.0377310000001,2,3,2,4,3,4,2,3
1361,Harrington Park,NJ,Bergen,7640,40.989909999999995,-73.98021,4761,Rural,America/New_York,Fine artist,0,35,11098.51,Never Married,Male,Yes,4.48844021,15,2,0,No,Month-to-month,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Credit Card (automatic),4.089115347,255.11979399999998,1467.90459,3,2,3,5,4,4,4,4
1362,Westford,VT,Chittenden,5494,44.60238,-73.00523000000001,1823,Urban,America/New_York,Volunteer coordinator,4,25,50670.27,Divorced,Male,Yes,12.69180844,13,1,0,No,Month-to-month,No,No,DSL,Yes,No,Yes,Yes,No,No,Yes,No,No,Bank Transfer(automatic),20.96092159,142.452604,2743.734408,4,4,4,3,5,3,4,6
1363,Minneapolis,MN,Hennepin,55402,44.97605,-93.2716,408,Rural,America/Chicago,Make,0,43,30118.57,Widowed,Male,No,7.636999105,12,0,0,Yes,Month-to-month,No,Yes,DSL,Yes,No,No,No,Yes,Yes,No,No,No,Bank Transfer(automatic),4.55454522,117.487242,976.9718155999999,2,3,4,6,2,4,3,5
1364,Marquette,MI,Marquette,49855,46.57441,-87.46659,33049,Rural,America/Detroit,"Programmer, systems",4,72,12704.28,Divorced,Male,Yes,12.02547979,12,0,0,Yes,One year,Yes,Yes,Fiber Optic,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Credit Card (automatic),2.876901531,275.119794,956.9132284,4,5,4,3,2,5,4,4
1365,Markleton,PA,Somerset,15551,39.885659999999994,-79.27776,751,Urban,America/New_York,"Psychologist, prison and probation services",3,25,54567.1,Divorced,Female,Yes,8.842844227,12,1,0,No,Month-to-month,Yes,No,Fiber Optic,Yes,No,No,No,Yes,Yes,No,Yes,No,Mailed Check,5.682066541,172.47417,884.6278615,5,5,4,4,2,6,5,4
1366,Coxs Creek,KY,Nelson,40013,37.938959999999994,-85.46769,5143,Urban,America/New_York,Research scientist (maths),9,43,54250.43,Divorced,Female,Yes,11.16875063,10,0,0,No,Two Year,No,No,DSL,Yes,Yes,No,No,No,No,No,Yes,Yes,Credit Card (automatic),3.187512279,159.947583,1201.898094,2,3,2,2,5,2,3,2
1367,Rushville,NE,Sheridan,69360,42.69944,-102.4717,1426,Suburban,America/Denver,Immunologist,1,57,73645.85,Never Married,Female,No,1.726524839,10,0,0,No,Two Year,Yes,No,Fiber Optic,No,Yes,No,No,Yes,No,No,No,No,Bank Transfer(automatic),7.93260821,157.48359399999998,810.4941232000001,6,5,6,2,4,5,5,4
1368,Hughes,AK,Yukon-Koyukuk,99745,66.04305,-154.24774,90,Suburban,America/Anchorage,"Teacher, early years/pre",0,23,41979.65,Widowed,Male,Yes,6.209819262999999,9,1,0,No,Month-to-month,No,Yes,DSL,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Credit Card (automatic),5.146834768,172.45674499999998,1237.5606369999998,4,3,5,4,4,5,4,4
1369,Edgewood,TX,Van Zandt,75117,32.71183,-95.85077,3776,Urban,America/Chicago,Bonds trader,1,20,40057.18,Divorced,Male,No,14.81848646,5,0,0,No,Month-to-month,No,No,Fiber Optic,Yes,Yes,No,No,No,No,No,Yes,No,Electronic Check,21.63512984,179.947583,2211.379038,4,5,4,4,4,4,4,4
1370,Barnum,IA,Webster,50518,42.514959999999995,-94.38605,442,Suburban,America/Chicago,Child psychotherapist,1,35,115520.53,Married,Female,No,14.59968721,9,2,0,Yes,One year,No,Yes,Fiber Optic,No,No,Yes,Yes,Yes,No,No,No,Yes,Mailed Check,9.941798485,149.99153,1144.495358,6,5,4,5,2,5,4,4
1371,Carrizozo,NM,Lincoln,88301,33.792590000000004,-105.7857,1185,Suburban,America/Denver,Field trials officer,3,81,18913.5,Never Married,Female,No,6.998489346,14,1,1,No,Month-to-month,Yes,No,Fiber Optic,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Credit Card (automatic),15.26657624,204.97968400000002,1558.3090949999998,4,2,2,4,3,4,4,2
1372,Stanton,AL,Chilton,36790,32.73319,-86.89631999999999,312,Rural,America/Chicago,Investment analyst,2,57,56342.23,Married,Male,No,9.899590418999999,15,2,0,No,Month-to-month,No,No,None,Yes,No,Yes,Yes,No,No,No,No,No,Electronic Check,2.62860278,104.99231100000002,501.0626363,3,2,3,3,3,3,3,3
1373,Surprise,NE,Butler,68667,41.11012,-97.30806,98,Suburban,America/Chicago,Graphic designer,1,32,57826.31,Widowed,Male,No,7.233747171,8,0,0,Yes,Two Year,Yes,Yes,Fiber Optic,Yes,No,No,No,No,No,Yes,No,No,Electronic Check,2.0452996619999997,137.439154,495.83701950000005,4,4,4,4,4,4,3,3
1374,Ganado,AZ,Apache,86505,35.62447,-109.71433,8002,Urban,America/Denver,Dealer,4,60,90889.4,Never Married,Male,No,12.04083843,15,1,0,No,Two Year,No,No,None,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Bank Transfer(automatic),23.05042619,242.65729100000001,2730.054658,5,4,4,3,4,4,4,4
1375,New York,NY,New York,10271,40.70824,-74.01054,0,Urban,America/New_York,"Scientist, clinical (histocompatibility and immunogenetics)",4,64,36220.07,Separated,Male,Yes,12.30730362,15,1,2,No,Month-to-month,No,Yes,Fiber Optic,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Mailed Check,7.6770395360000006,235.159141,1370.86345,2,1,3,2,3,2,3,5
1376,Clyo,GA,Effingham,31303,32.49982,-81.30964,2621,Rural,America/New_York,"Teacher, primary school",0,48,47229.76,Divorced,Male,No,13.27653911,17,1,1,Yes,Two Year,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,No,No,Yes,Credit Card (automatic),5.427546075,117.46859099999999,1111.834697,3,3,4,4,3,3,3,4
1377,Pittsburgh,PA,Allegheny,15227,40.37576,-79.97058,28633,Urban,America/New_York,Product manager,4,40,22390.15,Divorced,Male,Yes,9.873985217000001,9,2,1,No,Two Year,Yes,Yes,None,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Electronic Check,14.05740045,190.159922,1887.1978329999997,5,5,6,4,3,4,3,4
1378,Valley Center,CA,San Diego,92082,33.2508,-117.00048999999999,18065,Suburban,America/Los_Angeles,Graphic designer,1,67,65392.96,Separated,Female,Yes,9.948525069,9,0,3,Yes,Month-to-month,Yes,No,Fiber Optic,Yes,Yes,Yes,No,No,Yes,No,No,No,Mailed Check,5.791194182999999,159.987503,596.625449,2,4,4,3,4,3,3,3
1379,Pendleton,OR,Umatilla,97801,45.6682,-118.81572,20940,Suburban,America/Los_Angeles,English as a second language teacher,4,64,71721.17,Divorced,Female,No,14.71733435,14,3,1,No,Two Year,Yes,No,Fiber Optic,Yes,Yes,No,No,No,No,Yes,No,Yes,Electronic Check,14.23594392,169.944668,1507.046722,3,3,4,3,4,3,4,4
1380,Brookpark,OH,Cuyahoga,44142,41.40226,-81.8252,18674,Suburban,America/New_York,Clothing/textile technologist,0,21,45734.73,Widowed,Male,Yes,7.051157559,13,0,0,No,Month-to-month,Yes,No,DSL,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Credit Card (automatic),3.883156675,200.118516,1330.988714,4,5,4,3,3,5,4,3
1381,Anna,TX,Collin,75409,33.35197,-96.52735,15379,Suburban,America/Chicago,Theatre stage manager,3,82,33168.88,Never Married,Male,No,10.98310848,1,1,0,No,Month-to-month,Yes,No,DSL,Yes,No,No,No,No,Yes,Yes,No,Yes,Electronic Check,31.10956637,129.948316,3192.755309,3,2,2,3,3,3,3,3
1382,San Antonio,TX,Bexar,78219,29.442040000000002,-98.38753,16897,Rural,America/Chicago,Radiation protection practitioner,2,72,22070.09,Never Married,Female,No,16.15922157,13,2,0,No,Two Year,Yes,No,None,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Mailed Check,4.891651665,130.024412,644.4955302999999,2,3,3,5,3,2,4,5
1383,Roberts,ID,Jefferson,83444,43.69573,-112.24933,1015,Urban,America/Boise,"Engineer, broadcasting (operations)",5,23,42479.0,Divorced,Female,No,8.229564778,11,1,0,No,One year,No,No,None,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Electronic Check,5.812856338,159.964152,1076.076012,3,3,2,4,4,4,4,4
1384,Mc Carr,KY,Pike,41544,37.59398,-82.17407,754,Rural,America/New_York,Food technologist,3,37,31781.03,Widowed,Female,No,9.016531101,11,0,0,No,One year,Yes,No,Fiber Optic,Yes,No,No,No,No,Yes,No,Yes,No,Bank Transfer(automatic),1.67735795,159.951231,432.0011277,4,5,4,5,2,4,3,3
1385,Stephenson,MI,Menominee,49887,45.43422,-87.56487,2557,Rural,America/Menominee,"Teacher, English as a foreign language",3,24,47256.46,Separated,Male,Yes,9.066791953,16,0,1,No,Month-to-month,No,Yes,Fiber Optic,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Electronic Check,10.55675189,192.470522,1437.241364,4,4,4,6,3,4,3,3
1386,Lakeview,NC,Moore,28350,35.24353,-79.31306,128,Urban,America/New_York,Corporate treasurer,3,40,122844.86,Never Married,Female,No,15.15312675,12,2,2,No,Month-to-month,No,No,Fiber Optic,Yes,No,No,No,No,Yes,No,No,Yes,Electronic Check,10.08691319,124.964303,951.5458256000001,3,4,5,2,4,6,3,5
1387,Goodwin,SD,Deuel,57238,44.87543,-96.86081999999999,534,Urban,America/Chicago,Advertising account planner,2,32,81622.91,Separated,Male,No,9.04153153,6,0,1,No,One year,Yes,No,None,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Credit Card (automatic),12.48678964,200.165175,1733.107782,2,2,4,4,4,2,1,2
1388,Falcon,MO,Laclede,65470,37.54423,-92.40018,955,Suburban,America/Chicago,Herbalist,3,59,52687.01,Widowed,Male,Yes,11.44953763,20,2,0,No,Two Year,Yes,No,Fiber Optic,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Mailed Check,9.553290527,245.145743,1599.874839,3,4,5,3,5,5,4,4
1389,Marquand,MO,Madison,63655,37.39352,-90.20766,1543,Suburban,America/Chicago,Tourist information centre manager,1,44,21817.19,Never Married,Female,No,9.215937432,17,2,0,No,One year,No,No,Fiber Optic,Yes,No,No,No,No,Yes,No,Yes,Yes,Credit Card (automatic),6.307898491,159.951231,726.8978218999999,4,3,3,3,4,4,3,4
1390,Huntley,MN,Faribault,56047,43.732279999999996,-94.23363,127,Urban,America/Chicago,Film/video editor,1,60,38135.76,Widowed,Male,No,8.071539004,13,1,0,No,Month-to-month,Yes,No,None,Yes,Yes,No,Yes,No,No,No,No,Yes,Mailed Check,7.195646567000001,134.98013899999998,831.4033785,3,3,3,2,5,2,4,4
1391,Laneville,TX,Rusk,75667,31.985429999999997,-94.84004,1142,Suburban,America/Chicago,Physiotherapist,4,56,28438.52,Never Married,Female,Yes,10.1125551,12,1,1,No,Month-to-month,Yes,No,None,Yes,No,No,No,No,No,Yes,Yes,Yes,Electronic Check,15.15825465,175.133074,1798.360928,3,4,3,4,2,4,3,4
1392,Hermleigh,TX,Scurry,79526,32.63738,-100.72017,975,Urban,America/Chicago,Warden/ranger,3,23,22561.45,Married,Male,Yes,10.62160932,10,1,2,No,Month-to-month,No,No,DSL,Yes,Yes,No,No,No,No,Yes,Yes,No,Mailed Check,22.56250894,220.11486800000003,3014.9589379999998,5,4,4,2,4,4,4,4
1393,Castleton,IL,Stark,61426,41.11998,-89.70696,109,Rural,America/Chicago,"Scientist, clinical (histocompatibility and immunogenetics)",0,24,13935.17,Married,Female,No,12.24888394,15,1,0,No,Two Year,Yes,No,Fiber Optic,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Electronic Check,2.619468979,162.468917,534.6671843,3,4,2,2,5,3,3,3
1394,Little Rock,AR,Pulaski,72210,34.71395,-92.50441,17389,Rural,America/Chicago,Sport and exercise psychologist,0,85,15433.62,Never Married,Female,No,13.41929614,12,2,0,No,One year,No,No,None,Yes,Yes,No,No,No,No,No,No,No,Electronic Check,7.321650002999999,112.484375,552.7011071000001,3,3,3,4,4,4,3,4
1395,Cincinnati,OH,Hamilton,45212,39.16413,-84.45227,22529,Suburban,America/New_York,"Surveyor, building",2,55,57281.66,Divorced,Female,Yes,5.762293362,10,2,1,No,Month-to-month,No,Yes,Fiber Optic,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Electronic Check,3.469955007,242.62805699999998,961.4921993999999,2,3,2,3,3,4,3,5
1396,Tivoli,TX,Refugio,77990,28.469920000000002,-96.91716,878,Rural,America/Chicago,Licensed conveyancer,4,52,48038.44,Separated,Female,Yes,9.5872321,10,3,0,No,Month-to-month,Yes,No,None,Yes,No,No,No,No,No,No,Yes,Yes,Electronic Check,17.88183906,114.96578899999999,1737.043258,3,2,2,2,3,2,3,2
1397,Highland Mills,NY,Orange,10930,41.36485,-74.11533,8990,Urban,America/New_York,Further education lecturer,10,42,92748.49,Divorced,Female,No,14.30597862,14,1,0,No,Month-to-month,Yes,No,Fiber Optic,Yes,No,No,No,Yes,No,No,No,No,Bank Transfer(automatic),12.33304231,124.97808,1425.3469460000001,3,5,3,4,2,3,3,4
1398,Brooklyn,NY,Kings,11230,40.62218,-73.96519,89075,Suburban,America/New_York,Marketing executive,4,49,27950.05,Separated,Male,No,8.088610041,14,1,0,No,One year,No,Yes,DSL,Yes,No,No,Yes,No,No,Yes,No,No,Credit Card (automatic),17.12047934,139.93491799999998,2275.16632,5,4,5,4,3,3,5,5
1399,Arlington,IL,Bureau,61312,41.43573,-89.23293000000001,511,Suburban,America/Chicago,English as a foreign language teacher,0,84,43525.94,Divorced,Nonbinary,Yes,10.55912151,2,2,2,No,Month-to-month,No,No,Fiber Optic,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Bank Transfer(automatic),4.32321356,184.98529299999998,627.3962656,4,4,4,2,3,4,4,4
1400,Avon,CO,Eagle,81620,39.5966,-106.51437,10842,Suburban,America/Denver,"Engineer, manufacturing",3,45,55370.33,Never Married,Female,No,13.11354412,14,0,0,No,Two Year,No,No,Fiber Optic,No,Yes,Yes,Yes,No,Yes,No,No,No,Credit Card (automatic),7.59915732,182.48326699999998,972.4555267999999,3,3,3,2,4,2,3,4
1401,Copalis Beach,WA,Grays Harbor,98535,47.1066,-124.1339,560,Urban,America/Los_Angeles,Insurance claims handler,3,24,31003.45,Married,Male,Yes,9.234299939,11,1,0,Yes,One year,No,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Electronic Check,12.71183755,255.133571,2383.673575,3,4,3,4,2,5,4,5
1402,San Pedro,CA,Los Angeles,90732,33.74507,-118.31012,22273,Rural,America/Los_Angeles,Astronomer,2,32,55523.0,Separated,Female,Yes,10.21011328,11,3,0,Yes,Month-to-month,No,No,Fiber Optic,Yes,No,No,Yes,No,No,No,Yes,No,Electronic Check,3.868738215,169.937833,686.8335296,5,5,4,5,5,3,3,3
1403,Arlee,MT,Lake,59821,47.172579999999996,-114.06047,2653,Rural,America/Denver,Homeopath,8,18,15782.0,Divorced,Female,No,7.592089883,13,0,0,No,Two Year,Yes,No,DSL,Yes,No,Yes,No,No,No,No,Yes,No,Mailed Check,6.642819537,129.959755,1539.452153,3,4,3,3,4,4,2,4
1404,Stockertown,PA,Northampton,18083,40.75459,-75.26708,447,Rural,America/New_York,Curator,0,73,47596.81,Never Married,Female,No,9.923698853,14,1,0,No,One year,No,No,Fiber Optic,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Mailed Check,3.871799525,252.62402999999998,770.9716940000001,4,2,3,3,4,5,2,3
1405,Polk City,IA,Polk,50226,41.79268,-93.70235,6289,Suburban,America/Chicago,"Clinical scientist, histocompatibility and immunogenetics",3,87,11565.2,Separated,Female,Yes,10.35922638,14,1,0,No,One year,No,Yes,None,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Electronic Check,2.288223389,245.174977,937.6860638,4,5,4,6,1,6,4,4
1406,Arthurdale,WV,Preston,26520,39.49695,-79.82356999999999,1204,Rural,America/New_York,Police officer,4,62,24216.4,Never Married,Male,No,13.09191109,14,1,0,No,Two Year,No,Yes,DSL,No,No,Yes,No,No,Yes,Yes,No,No,Bank Transfer(automatic),9.331730104,132.466002,1579.8870650000001,4,4,3,4,3,3,3,3
1407,Obion,TN,Obion,38240,36.25131,-89.31929000000001,2474,Rural,America/Chicago,Speech and language therapist,1,82,10429.51,Married,Nonbinary,Yes,8.102739551,13,1,1,No,Month-to-month,No,No,DSL,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Electronic Check,17.01228541,222.632554,2294.265591,3,4,5,4,4,3,3,5
1408,Lake Harmony,PA,Carbon,18624,41.05778,-75.62088,344,Rural,America/New_York,Lobbyist,3,71,34905.9,Separated,Male,No,13.49890874,11,0,0,No,Month-to-month,Yes,Yes,None,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Mailed Check,4.556801333,165.018175,871.9497736999999,4,3,5,5,2,3,5,5
1409,Birmingham,AL,Jefferson,35235,33.62409,-86.64834,20926,Suburban,America/Chicago,"Psychologist, prison and probation services",1,71,97462.46,Divorced,Male,No,12.05972869,13,0,0,No,One year,Yes,Yes,DSL,Yes,No,No,No,No,No,No,Yes,Yes,Electronic Check,1.522691557,127.44206899999999,737.7421962000001,2,3,4,3,4,3,2,4
1410,Copper Hill,VA,Floyd,24079,37.05424,-80.15716,1800,Urban,America/New_York,Agricultural consultant,0,55,39746.81,Widowed,Female,Yes,8.242313408,15,2,0,Yes,Month-to-month,No,No,None,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Electronic Check,2.988653862,152.495236,571.3635369,3,3,4,3,3,2,3,2
1411,Deersville,OH,Harrison,44693,40.30202,-81.18618000000001,41,Suburban,America/New_York,Actuary,2,61,41817.73,Divorced,Male,No,5.326776882,12,2,0,No,Two Year,Yes,Yes,DSL,Yes,No,No,No,Yes,No,No,Yes,No,Bank Transfer(automatic),9.821119931,139.965008,1566.414462,3,4,3,3,4,2,6,5
1412,New Harbor,ME,Lincoln,4554,43.86575,-69.50556999999999,911,Urban,America/New_York,Film/video editor,3,41,17888.07,Widowed,Female,Yes,14.62580855,6,1,0,No,Month-to-month,Yes,No,DSL,No,No,No,No,No,Yes,Yes,No,Yes,Credit Card (automatic),2.495010749,129.948316,935.5106086000001,2,3,3,3,4,3,1,1
1413,Fryeburg,ME,Oxford,4037,44.09281,-70.94984000000001,3814,Suburban,America/New_York,"Therapist, sports",4,54,30398.93,Divorced,Female,No,10.79945853,10,1,0,No,Two Year,No,Yes,DSL,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Credit Card (automatic),4.452382313999999,144.98894099999998,1244.4049630000002,4,4,4,4,3,3,4,5
1414,Brazil,IN,Clay,47834,39.52584,-87.12124,19215,Suburban,America/Indiana/Indianapolis,Actor,0,53,8657.1,Married,Female,Yes,10.75378608,12,1,1,No,Month-to-month,No,No,DSL,Yes,Yes,No,No,Yes,Yes,No,No,No,Electronic Check,3.847102787,149.992756,875.8840004000001,3,3,3,6,3,3,3,3
1415,Hogansburg,NY,Franklin,13655,44.9781,-74.6513,3431,Suburban,America/New_York,Sports coach,3,49,46183.9,Married,Female,No,6.399633802,14,0,2,No,Month-to-month,Yes,Yes,Fiber Optic,Yes,No,No,No,No,Yes,No,Yes,Yes,Credit Card (automatic),3.6886577239999996,159.951231,557.4590467999999,5,4,3,5,2,8,6,5
1416,Magnet,NE,Cedar,68749,42.453070000000004,-97.47532,62,Urban,America/Chicago,Cabin crew,2,69,9106.57,Widowed,Male,Yes,12.29278948,4,2,0,No,Month-to-month,Yes,Yes,DSL,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Bank Transfer(automatic),21.13118502,184.97968400000002,2543.181756,3,4,3,4,4,4,4,4
1417,Pierce,TX,Wharton,77467,29.21068,-96.12324,13,Rural,America/Chicago,"Designer, jewellery",1,59,50103.36,Never Married,Female,No,6.223741222,11,1,0,No,One year,Yes,No,Fiber Optic,Yes,No,Yes,No,No,Yes,No,No,Yes,Mailed Check,23.44153546,127.48198899999998,1997.134556,4,5,4,4,3,4,4,3
1418,Dietrich,ID,Lincoln,83324,42.87833,-114.26602,743,Urban,America/Boise,Broadcast engineer,1,18,1193.19,Widowed,Female,Yes,12.00707872,13,0,0,Yes,Month-to-month,Yes,No,DSL,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Bank Transfer(automatic),4.594946825,132.466002,1196.6173939999999,5,6,4,3,3,4,4,5
1419,Tenmile,OR,Douglas,97481,43.113859999999995,-123.55215,819,Urban,America/Los_Angeles,"Engineer, materials",2,36,57322.77,Separated,Nonbinary,Yes,16.89111923,10,1,0,No,Month-to-month,Yes,No,Fiber Optic,Yes,Yes,No,Yes,No,No,Yes,No,No,Electronic Check,8.085917091,192.44043200000002,1088.288955,2,2,3,4,3,4,3,5
1420,Westville,NJ,Gloucester,8093,39.86416,-75.1358,9045,Rural,America/New_York,"Engineer, aeronautical",1,55,7682.28,Never Married,Male,No,8.462349988,14,2,0,No,One year,No,Yes,None,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Electronic Check,6.086525665,139.99788999999998,840.1259162,3,2,2,4,3,3,4,3
1421,Manlius,NY,Onondaga,13104,42.96313,-75.9557,15515,Rural,America/New_York,Television production assistant,1,22,13337.97,Separated,Female,No,10.99334684,15,1,1,No,One year,No,No,Fiber Optic,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Credit Card (automatic),3.2959938369999997,217.472533,839.4587853,4,2,3,2,4,5,3,2
1422,Tucson,AZ,Pima,85726,32.20478,-110.94563000000001,0,Urban,America/Phoenix,"Scientist, biomedical",3,56,66945.1,Widowed,Male,No,11.91191765,15,1,0,No,One year,Yes,No,DSL,Yes,No,No,Yes,No,No,Yes,No,Yes,Electronic Check,2.354138635,139.93491799999998,1011.5090960000001,3,2,3,5,2,5,4,5
1423,Schaumburg,IL,Cook,60173,42.051590000000004,-88.05196,12162,Urban,America/Chicago,Exercise physiologist,1,89,38227.48,Separated,Female,Yes,8.849510435,14,1,0,Yes,Month-to-month,Yes,Yes,None,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Electronic Check,5.68109955,139.98157700000002,738.9464573,3,3,3,2,5,2,1,5
1424,Hamlet,IN,Starke,46532,41.4183,-86.61876,1594,Suburban,America/Indiana/Knox,Clinical psychologist,1,82,60150.88,Divorced,Male,No,8.637279441,11,0,1,No,Month-to-month,No,No,Fiber Optic,Yes,No,Yes,Yes,No,Yes,No,No,No,Mailed Check,16.96762986,149.977753,1567.544174,3,3,3,3,4,4,4,2
1425,Hilger,MT,Fergus,59451,47.3899,-109.38616999999999,196,Rural,America/Denver,Health and safety inspector,7,35,49128.48,Divorced,Male,Yes,13.3037367,10,2,0,No,Month-to-month,Yes,Yes,Fiber Optic,Yes,No,No,No,No,No,No,Yes,Yes,Credit Card (automatic),4.544027018,147.442069,874.5485738,4,4,2,5,2,5,4,5
1426,Tioga,TX,Grayson,76271,33.46699,-96.90778,1741,Suburban,America/Chicago,Astronomer,0,20,23702.37,Married,Male,Yes,12.77224032,12,0,0,No,Month-to-month,No,No,DSL,Yes,No,No,Yes,No,No,No,Yes,No,Credit Card (automatic),10.3444125,149.937833,1690.990907,3,3,3,3,3,3,4,4
1427,Cutler,IN,Carroll,46920,40.46437,-86.4948,1085,Urban,America/Indiana/Indianapolis,Nutritional therapist,1,39,25368.71,Separated,Female,Yes,8.654892599999998,14,0,0,No,Month-to-month,Yes,No,DSL,Yes,No,Yes,No,No,No,No,Yes,Yes,Credit Card (automatic),4.672608309,129.959755,1093.673208,4,4,5,3,5,2,3,3
1428,Canby,CA,Modoc,96015,41.50378,-120.91726000000001,529,Suburban,America/Los_Angeles,Glass blower/designer,2,65,1593.76,Separated,Male,No,10.617244,13,1,0,No,Month-to-month,No,No,DSL,No,Yes,No,No,Yes,No,No,No,No,Bank Transfer(automatic),11.44470291,137.48359399999998,1598.603464,2,2,4,5,3,3,4,3
1429,Mcdonough,GA,Henry,30252,33.46968,-84.06239000000001,46286,Rural,America/New_York,Brewing technologist,3,28,24984.75,Divorced,Female,Yes,9.103936329,20,2,1,No,Month-to-month,Yes,No,Fiber Optic,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Electronic Check,16.78883402,204.963371,1982.607316,2,3,3,4,2,2,3,3
1430,Old Fields,WV,Hardy,26845,39.161970000000004,-78.96531,725,Rural,America/New_York,Secondary school teacher,1,86,29315.24,Divorced,Male,Yes,7.420757697000001,10,3,0,No,Month-to-month,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Bank Transfer(automatic),10.27733324,270.160419,1998.8771559999998,2,2,3,4,3,4,3,4
1431,Chariton,IA,Lucas,50049,41.03565,-93.30102,6292,Suburban,America/Chicago,Oncologist,5,27,13262.8,Married,Male,No,9.694498267,17,1,0,No,Month-to-month,Yes,No,Fiber Optic,Yes,No,No,Yes,No,No,No,Yes,Yes,Credit Card (automatic),15.98515564,169.937833,1870.6598329999997,4,4,4,4,2,3,4,5
1432,Shirley Mills,ME,Piscataquis,4485,45.36098,-69.62021999999999,208,Suburban,America/New_York,"Editor, magazine features",0,65,20617.44,Widowed,Female,Yes,9.460602685,13,0,2,Yes,One year,No,Yes,Fiber Optic,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Mailed Check,3.19677148,262.610632,831.5573687000001,5,5,4,4,4,4,5,5
